ID,Nome,Nome original,Nivel,Vida,Lookface,Arquivo
1402,Huge Spirit,HugeSpirit,57,3184,0202,HugeSpirit.ini
8200,Human Aide,HumanAide,22,734,0108,HumanAide.ini
8100,Human Messenger,HumanMessenger,22,734,0108,HumanMessenger.ini
20010,Icy Blade Devil,IcyBladeDevil,127,65535,0329,IcyBladeDevil.ini
20000,Icy Serpent,IcySerpent,122,65535,0255,IcySerpent.ini
3010,Iron Bird,IronBird,78,4545,0205,IronBird.ini
3029,Iron Eagle,IronEagle,1,1000,0205,IronEagle.ini
2171,Jade Courtesan,JadeCourtesan,100,38000,152,JadeCourtesan.ini
33212,Jade Phantom,JadePhantom,60,20697,0397,JadePhantom.ini
2189,Jinx Tomb Bat,JinxTombBat,110,45000,348,JinxTombBat.ini
3023,Jumpy,Jumpy,88,6813,0200,Jumpy.ini
12314461,Kid Catcher,KidCatcher,37,1500,0130,KidCatcher.ini
12314462,Kid Hunter,KidHunter,37,5000,0126,KidHunter.ini
12314460,Kid Ripper,KidRipper,37,1500,0242,KidRipper.ini
12314463,Kid Siezer,KidSiezer,37,10000,0126,KidSiezer.ini
40102,Kylin Chariot,KylinChariot,132,100000,788,KylinChariot.ini
3625,Lame Skeleton,LameSkeleton,120,50000,0363,LameSkeleton.ini
11224,Lapidating Mob,LapidatingMob,72,5886,0105,LapidatingMob.ini
20055,Lava Beast,LavaBeast,135,15000000,0251,LavaBeast.ini
40904,Lava Scorpion,LavaScorpion,125,81000,133,LavaScorpion.ini
3614,Lightning Ape,LightningApe,120,50000,0225,LightningApe.ini
6010,Lonely Tyrant,LonelyTyrant,45,2100,0401,LonelyTyrant.ini
40942,Lord Protector(Elite),LordProtector(Elite),118,120000,210,LordProtector(Elite).ini
40932,Lord Protector(Nor.),LordProtector(Nor.),118,65535,210,LordProtector(Nor.).ini
2173,Lyra Ghost,LyraGhost,100,50000,230,LyraGhost.ini
10,Macaque,Macaque,47,1467,0156,Macaque.ini
69,Macaque L48,MacaqueL48,48,4400,0556,MacaqueL48.ini
2231,Mad Bull,MadBull,113,35535,517,MadBull.ini
40125,Maniac,Maniac,140,5000000,917,Maniac.ini
2159,Mausoleum General1,MausoleumGeneral1,95,15000,353,MausoleumGeneral1.ini
2161,Mausoleum General2,MausoleumGeneral2,95,15000,354,MausoleumGeneral2.ini
2166,Mausoleum General3,MausoleumGeneral3,95,15000,354,MausoleumGeneral3.ini
2178,Mausoleum General4,MausoleumGeneral4,95,15000,353,MausoleumGeneral4.ini
8415,Meteor Dove,MeteorDove,32,10000,0304,MeteorDove.ini
40101,Military Officerof Realm,MilitaryOfficerofRealm,132,100000,910,MilitaryOfficerofRealm.ini
120,Min Macaque,MinMacaque,47,1759,0156,MinMacaque.ini
3022,Minotaur,Minotaur,98,9937,0117,Minotaur.ini
3155,Minotaur L120,MinotaurL120,120,60460,0117,MinotaurL120.ini
8205,Monkey Aide,MonkeyAide,47,2935,0196,MonkeyAide.ini
8305,Monkey King,MonkeyKing,47,30015,0196,MonkeyKing.ini
8105,Monkey Messenger,MonkeyMessenger,47,2935,0196,MonkeyMessenger.ini
6015,Monkey Monster,MonkeyMonster,60,10200,0156,MonkeyMonster.ini
35,Mount Monster,MountMonster,75,735800,0305,MountMonster.ini
12314456,Mouse Elf,MouseElf,37,1000,0242,MouseElf.ini
3601,Mud Demon,MudDemon,120,50000,0227,MudDemon.ini
3738,Mummy Skeleton,MummySkeleton,255,11200000,0118,MummySkeleton.ini
5057,Naga,Naga,122,6794,0262,Naga.ini
3146,Naga Lord,NagaLord,115,65535,0162,NagaLord.ini
20300,Nemesis Tyrant,NemesisTyrant,138,100000000,0984,NemesisTyrant.ini
8418,Night Devil,NightDevil,120,60460,0277,NightDevil.ini
20031,Nightmare Lady,NightmareLady,128,65535,0230,NightmareLady.ini
3001,North Monster,NorthMonster,108,14335,0105,NorthMonster.ini
20200,Ocean Ghost,OceanGhost,137,98000,0524,OceanGhost.ini
3000,Odd Monster,OddMonster,118,18205,0105,OddMonster.ini
3025,Pan,Pan,1,1000,0201,Pan.ini
3637,Peter,Peter,120,65535,0362,Peter.ini
5046,Phantom,Phantom,120,3451,0363,Phantom.ini
1,Pheasant,Pheasant,1,33,0104,Pheasant.ini
3638,Philip,Philip,120,65535,0268,Philip.ini
2997,Plains Thief,PlainsThief,82,15864,601,PlainsThief.ini
2172,Poem Ghost,PoemGhost,100,50000,277,PoemGhost.ini
3032,Poisonous Rat,PoisonousRat,37,666,0202,PoisonousRat.ini
5,Poltergeist,Poltergeist,22,366,0108,Poltergeist.ini
20101,Purple Banshee,PurpleBanshee,138,54000000,0983,PurpleBanshee.ini
6018,Python,Python,70,30200,0204,Python.ini
14336,Raging Ape,RagingApe,55,6666,0103,RagingApe.ini
3613,Rain Ape,RainApe,120,50000,0425,RainApe.ini
8203,Rat Aide,RatAide,37,1334,0242,RatAide.ini
8303,Rat King,RatKing,37,30015,0442,RatKing.ini
8103,Rat Messenger,RatMessenger,37,1334,0242,RatMessenger.ini
8,Ratling,Ratling,37,666,0202,Ratling.ini
58,Red Devil L117,RedDevilL117,117,60460,0197,RedDevilL117.ini
83,Red Devil L118,RedDevilL118,118,65535,0597,RedDevilL118.ini
3609,Red Fiend,RedFiend,120,50000,0426,RedFiend.ini
5050,Revenant,Revenant,121,5136,0265,Revenant.ini
10000,Reviver,Reviver,60,5000,0910,Reviver.ini
31,Roaring Ape,RoaringApe,55,264300,0356,RoaringApe.ini
3007,Roaring Ghost,RoaringGhost,98,9937,0200,RoaringGhost.ini
3605,Roaring Serpent,RoaringSerpent,120,50000,0355,RoaringSerpent.ini
40908,Roaring Snake,RoaringSnake,127,85000,355,RoaringSnake.ini
40,Robber,Robber,100,2069700,0401,Robber.ini
8215,Robber Aide,RobberAide,97,26680,0241,RobberAide.ini
8315,Robber King,RobberKing,97,43712,0241,RobberKing.ini
11008,Robber Leader,RobberLeader,32,2000,0201,RobberLeader.ini
8115,Robber Messenger,RobberMessenger,97,26680,0241,RobberMessenger.ini
3,Robin,Robin,12,122,0132,Robin.ini
51,Rock Monster,RockMonster,72,7358,0105,RockMonster.ini
8211,Rock Monster Aide,RockMonsterAide,77,11339,0145,RockMonsterAide.ini
8311,Rock Monster King,RockMonsterKing,77,32016,0145,RockMonsterKing.ini
59,Rock Monster L15,RockMonsterL15,15,1000,0536,RockMonsterL15.ini
105,Rock Monster L17,RockMonsterL17,17,606,0136,RockMonsterL17.ini
106,Rock Monster L42,RockMonsterL42,42,3656,0136,RockMonsterL42.ini
107,Rock Monster L72,RockMonsterL72,72,14716,0136,RockMonsterL72.ini
75,Rock Monster L78,RockMonsterL78,78,11284,0505,RockMonsterL78.ini
108,Rock Monster L92,RockMonsterL92,92,30864,0136,RockMonsterL92.ini
8111,Rock Monster Msgr,RockMonsterMsgr,77,11339,0145,RockMonsterMsgr.ini
40944,Ruthless Asura(Elite),RuthlessAsura(Elite),123,25000000,0953,RuthlessAsura(Elite).ini
40934,Ruthless Asura(Nor.),RuthlessAsura(Nor.),123,15000000,0953,RuthlessAsura(Nor.).ini
2437,Sacred Demon,SacredDemon,1,33,168,SacredDemon.ini
34,Sand Devil,SandDevil,70,576000,0131,SandDevil.ini
124,Sand Elf,SandElf,67,4608,0131,SandElf.ini
14,Sand Monster,SandMonster,67,3842,0131,SandMonster.ini
8209,Sand Monster Aide,SandMonsterAide,67,7337,0171,SandMonsterAide.ini
8309,Sand Monster King,SandMonsterKing,67,31349,0171,SandMonsterKing.ini
73,Sand Monster L68,SandMonsterL68,68,11526,0531,SandMonsterL68.ini
8109,Sand Monster Msgr,SandMonsterMsgr,67,7337,0171,SandMonsterMsgr.ini
3644,Satan,Satan,120,65535,0166,Satan.ini
3008,Scary Ghost,ScaryGhost,108,14335,0200,ScaryGhost.ini
1408,Senior Ape,SeniorApe,88,13422,0103,SeniorApe.ini
85,Senior Bandit,SeniorBandit,103,45000,0201,SeniorBandit.ini
1404,Senior Cateran,SeniorCateran,67,5760,0401,SeniorCateran.ini
1412,Senior Serpent,SeniorSerpent,107,28140,0604,SeniorSerpent.ini
1410,Senior Snakeman,SeniorSnakeman,97,20697,0204,SeniorSnakeman.ini
3629,Sensitive Beast,SensitiveBeast,120,50000,0254,SensitiveBeast.ini
1411,Serpent,Serpent,102,24472,0404,Serpent.ini
20002,Serpent Lord,SerpentLord,123,65535,0155,SerpentLord.ini
3607,Serpent Spirit,SerpentSpirit,120,50000,0355,SerpentSpirit.ini
40948,Shadow Spider(Elite),ShadowSpider(Elite),138,65000000,0951,ShadowSpider(Elite).ini
40938,Shadow Spider(Nor.),ShadowSpider(Nor.),138,50000000,0951,ShadowSpider(Nor.).ini
3028,Shake Monster,ShakeMonster,7,81,0105,ShakeMonster.ini
3012,Silver Bird,SilverBird,98,9937,0205,SilverBird.ini
20135,Silver Hawk,SilverHawk,140,20000000,0405,SilverHawk.ini
2699,Silver Octopus,SilverOctopus,10,50,959,SilverOctopus.ini
3604,Singing Serpent,SingingSerpent,120,50000,0155,SingingSerpent.ini
3018,Single Eye,SingleEye,108,14335,0201,SingleEye.ini
3141,Slinger,Slinger,105,30110,0145,Slinger.ini
122,Slow Ape,SlowApe,57,2547,0103,SlowApe.ini
30,Smart Monkey,SmartMonkey,50,219900,0356,SmartMonkey.ini
20041,Snake Chief,SnakeChief,128,65535,0154,SnakeChief.ini
20040,Snake Hubbub,SnakeHubbub,127,65535,0254,SnakeHubbub.ini
3102,Snake King,SnakeKing,120,65535,0404,SnakeKing.ini
123,Snake Monster,SnakeMonster,62,3817,0204,SnakeMonster.ini
13,Snakeman,Snakeman,62,3182,0204,Snakeman.ini
8208,Snakeman Aide,SnakemanAide,62,6337,0244,SnakemanAide.ini
14337,Snakeman Elder,SnakemanElder,62,9500,0244,SnakemanElder.ini
8308,Snakeman King,SnakemanKing,62,30682,0244,SnakemanKing.ini
72,Snakeman L63,SnakemanL63,63,9547,0604,SnakemanL63.ini
8108,Snakeman Msgr,SnakemanMsgr,62,6337,0244,SnakemanMsgr.ini
32,Snow Ape,SnowApe,60,318400,318400,SnowApe.ini
20070,Snow Banshee,SnowBanshee,138,60000000,0951,SnowBanshee.ini
40945,Soul Strangler(Elite),SoulStrangler(Elite),135,40000000,0251,SoulStrangler(Elite).ini
40935,Soul Strangler(Nor.),SoulStrangler(Nor.),135,15000000,0251,SoulStrangler(Nor.).ini
3002,South Monster,SouthMonster,98,9937,0105,SouthMonster.ini
3033,Stone Bandit,StoneBandit,77,5642,0105,StoneBandit.ini
36,Stone Monster,StoneMonster,80,845900,0305,StoneMonster.ini
3633,Swift Devil,SwiftDevil,120,55000,0133,SwiftDevil.ini
6643,Sword Master,SwordMaster,133,15000000,0953,SwordMaster.ini
3156,Syren,Syren,125,65535,0130,Syren.ini
3149,Talon,Talon,120,65535,0225,Talon.ini
5053,Temptress,Temptress,122,6794,0230,Temptress.ini
20060,Terato Dragon,TeratoDragon,138,50000000,0950,TeratoDragon.ini
3643,Theodore,Theodore,120,65535,0164,Theodore.ini
2996,Thief Leader,ThiefLeader,82,20459,241,ThiefLeader.ini
20160,Thrilling Spook,ThrillingSpook,138,60000000,0952,ThrillingSpook.ini
12,Thunder Ape,ThunderApe,57,2124,0103,ThunderApe.ini
8207,Thunder Ape Aide,ThunderApeAide,57,4202,0103,ThunderApeAide.ini
