ID,Nome,Fonte do nome,Confianca,Lv min,Lv max,NPC inicio,NPC fim,Premio,Refs no codigo,No codigo,Em saves,Arquivos
407,Attack Talisman VIII,client Questinfo.ini,high,100,120,"4582,1011,788,456,VillagerChou,PhoenixCastle","4582,1011,788,456,VillagerChou,PhoenixCastle","100 Silver  \n=======================================\nFinalReward:  \nSuper Heaven Fan(B)  [item 201009,0,0,0,3,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
522,Defense Talisman III,client Questinfo.ini,high,100,120,"4566,1015,732,516,YangYun,BirdIsland","4575,1015,208,216,TimeDoor,BirdIsland","100 Silver  \n=======================================\nFinalReward:  \nElite Star Tower(B)  [item 202008,0,0,0,3,0,0]",14,sim,0,Client/PoolProcesor.cs; Game/MsgMonster/MonsterRole.cs; Game/MsgServer/MsgItemUsuagePacket.cs
523,Defense Talisman IV,client Questinfo.ini,high,100,120,"4575,1015,220,220,TimeDoor,BirdIsland","4568,1784,55,55,RuanBrother,Hut","100 Silver  \n=======================================\nFinalReward:  \n Elite Star Tower(B)  [item 202008,0,0,0,3,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
525,Defense Talisman VI,client Questinfo.ini,high,100,120,"4572,1000,472,578,Plum,DesertCity","4566,1015,732,516,YangYun,BirdIsland","100 Silver  \n=======================================\nFinalReward:  \nElite Star Tower(B)  [item 202008,0,0,0,3,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
526,Defense Talisman VII,client Questinfo.ini,high,100,120,"4566,1015,732,516,YangYun,BirdIsland","4573,1000,85,313,GhoulKong,Desert","100 Silver  \n=======================================\nFinalReward:  \nElite Star Tower(B)  [item 202008,0,0,0,3,0,0]",5,sim,0,Client/PoolProcesor.cs; Game/MsgMonster/MonsterRole.cs
527,Defense TalismanVIII,client Questinfo.ini,high,100,120,"4573,1000,85,313,GhoulKong,Desert","4578,1787,48,37,Cauldron,Dungeon3F","100 Silver  \n=======================================\nFinalReward:  \nElite Star Tower(B)  [item 202008,0,0,0,3,0,0]",6,sim,0,Game/MsgMonster/MonsterRole.cs
802,Create a Team,client Questinfo.ini,high,1,50,"5673,1002,398,323,KungfuBoy,TwinCity","4488,1002,390,347,GeneralZhao,TwinCity",EXP:  200,3,sim,0,Game/MsgNpc/NpcHandler.cs
804,Message,client Questinfo.ini,high,1,50,"5672,1010,62,105,RecruitMaster,BirthVillage","5673,1002,398,323,KungfuBoy,TwinCity",EXP:  300,2,sim,0,Game/MsgNpc/NpcHandler.cs
807,The Armorer,client Questinfo.ini,high,3,50,"4488,1002,390,347,GeneralZhao,TwinCity","0004,1002,0412,0366,Armorer,TwinCity","EXP:  400  \nGold:  200  [item 130006,0,0,0,3,0,0]",1,sim,0,Game/MsgNpc/NpcHandler.cs
824,First Stab 2,client Questinfo.ini,high,4,50,"2001,1002,435,438,TCCaptain,TwinCity","2001,1002,435,438,TCCaptain,TwinCity",EXP:  3000,1,sim,0,Game/MsgMonster/MonsterRole.cs
1007,Letter Delivery 2,client Questinfo.ini,high,10,20,"7991,1002,0511,0360,TCViceCaptain,TwinCity","7991,1002,0511,0360,TCViceCaptain,TwinCity","Some EXP, 300 Silver, 5 Resolutives, Twin City Gate",1,sim,0,Game/MsgMonster/MonsterRole.cs
1009,Robin Elimination,client Questinfo.ini,high,14,34,"7992,1002,604,688,XuLiang,WindPlain","7992,1002,604,688,XuLiang,WindPlain","Some EXP, 500 Silver and 3 [item 720173,0,0,0,0,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1010,Feather Collection,client Questinfo.ini,high,14,34,"4467,1002,603,672,ArtisanLuo,TwinCity","4467,1002,603,672,ArtisanLuo,TwinCity","Some EXP, 400 Silver",2,sim,0,Game/MsgMonster/MonsterRole.cs
1011,Love Confession 1,client Questinfo.ini,high,14,24,"7992,1002,604,688,XuLiang,WindPlain","7992,1002,604,688,XuLiang,WindPlain",Some EXP and 400 Silver,3,sim,0,Client/PoolProcesor.cs; Game/MsgNpc/NpcHandler.cs
1013,Love Confession 3,client Questinfo.ini,high,18,28,"7993,1002,336,735,RuHua,WindPlain","7993,1002,336,735,RuHua,WindPlain",Some EXP and 500 Silver,1,sim,0,Game/MsgMonster/MonsterRole.cs
1016,Capture Spirit I,client Questinfo.ini,high,18,28,"600050,1002,337,720,Fortuneteller,TwinCity","600050,1002,337,720,Fortuneteller,TwinCity",Some EXP and 500 Silver,2,sim,0,Game/MsgMonster/MonsterRole.cs
1103,Father & Daughter II,client Questinfo.ini,high,25,40,"8267,1011,0013,0373,YuJing,PhoenixCastle","8267,1011,0013,0373,YuJing,PhoenixCastle",Some EXP and 500 Silver,2,sim,0,Game/MsgMonster/MonsterRole.cs
1107,Snake Scale,client Questinfo.ini,high,27,42,"8268,1011,790,447,HunterWong,PhoenixCastle","8268,1011,790,447,HunterWong,PhoenixCastle","Some EXP, 600 Silver, [item 1060023,0,0,0,0,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1114,Regain Supplies,client Questinfo.ini,high,30,45,"8266,1011,0211,0312,ForestGovernor,PhoenixCastle","8266,1011,0211,0312,ForestGovernor,PhoenixCastle","Some EXP and 500 Silver [item 723017,0,0,0,3,0,0][item 150057,0,0,0,3,0,0][item 152067,0,0,0,3,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1115,Bandits` Plot I,client Questinfo.ini,high,32,47,"8270,1011,215,360,IntelligenceAgent,PhoenixCastle","8270,1011,215,360,IntelligenceAgent,PhoenixCastle",Some EXP and 800 Silver,1,sim,0,Game/MsgMonster/MonsterRole.cs
1118,Bandits` Plot IV,client Questinfo.ini,high,34,49,"8271,1011,230,254,PhoenixCastellan,PhoenixCastle","8271,1011,230,254,PhoenixCastellan,PhoenixCastle",Some EXP and 1200 Silver,1,sim,0,Game/MsgMonster/MonsterRole.cs
1121,Kill 10 Ratling,client Questinfo.ini,high,35,50,"8274,1011,761,473,BoldBoy,PhoenixCastal","8274,1011,761,473,BoldBoy,PhoenixCastal","60 minutes EXP, 800 Silver, [item 1060023,0,0,0,0,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1123,Ratling Fur,client Questinfo.ini,high,35,50,"8275,1011,796,475,FurDealer,PhoenixCastal","8275,1011,796,475,FurDealer,PhoenixCastal","Some EXP and 500 Silver,Level 32 Elite Armor (Bound)",2,sim,0,Game/MsgMonster/MonsterRole.cs
1125,Ratling King 1,client Questinfo.ini,high,37,57,"8273,1011,772,475,VillageHead,PhoenixCastal","8273,1011,772,475,VillageHead,PhoenixCastal","Some EXP, 800 Silver, [item 720172,0,0,0,0,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1127,Ratling King 3,client Questinfo.ini,high,37,57,"8273,1011,772,475,VillageHead,PhoenixCastal","8273,1011,772,475,VillageHead,PhoenixCastal","Some EXP, 800 Silver and 3 [item 720173,0,0,0,0,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1128,Ratling King 4,client Questinfo.ini,high,38,53,"8273,1011,772,475,VillageHead,PhoenixCastal","8273,1011,772,475,VillageHead,PhoenixCastal",Some EXP and 800 Silver,2,sim,0,Game/MsgMonster/MonsterRole.cs
1129,Ratling King 5,client Questinfo.ini,high,38,53,"8273,1011,772,475,VillageHead,PhoenixCastal","8273,1011,772,475,VillageHead,PhoenixCastal","Some EXP, 2,000 Silver [item 723700,0,0,0,3,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1133,Water,client Questinfo.ini,high,40,55,"8279,1011,661,704,MilitiaDragon,PhoenixCastal","8279,1011,661,704,MilitiaDragon,PhoenixCastal",Some EXP and 600 Silver,1,sim,0,Client/PoolProcesor.cs
1135,A Gift,client Questinfo.ini,high,40,55,"8278,1011,656,698,MilitiaTiger,PhoenixCastal","8278,1011,656,698,MilitiaTiger,PhoenixCastal","60 minutes EXP, 1,000, 5 Amritas",2,sim,0,Game/MsgMonster/MonsterRole.cs
1142,Fury of the Dead,client Questinfo.ini,high,42,62,"8280,1011,636,566,MilitiaLeopard,PhoenixCastal","8280,1011,636,566,MilitiaLeopard,PhoenixCastal","Some EXP, 1,000 Silver and 5 [item 720172,0,0,0,0,0,0]",4,sim,0,Game/MsgMonster/MonsterRole.cs
1144,Fire Spirits,client Questinfo.ini,high,43,63,"8281,1011,791,478,WarrantOfArrest,PhoenixCastal","8277,1011,655,703,MilitiaCaptain,PhoenixCastal","Some EXP, 1,000 Silver, a Level 40 Elite Weapon (B) and 5 [item 720172,0,0,0,0,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1301,Clear the Way,client Questinfo.ini,high,45,60,"8287,1020,573,622,AC-Lieutenant,ApeCity","8287,1020,573,622,AC-Lieutenant,ApeCity","Some EXP,  1,500 Silver,[item 730001,0,0,0,3,0,0] [item 721691,0,0,0,0,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1303,Macaques(1),client Questinfo.ini,high,47,62,"8287,1020,573,622,AC-Lieutenant,ApeCity","8287,1020,573,622,AC-Lieutenant,ApeCity","Some EXP,  1,000 Silver,",1,sim,0,Game/MsgMonster/MonsterRole.cs
1304,Macaques(2),client Questinfo.ini,high,47,62,"8287,1020,573,622,AC-Lieutenant,ApeCity","8287,1020,573,622,AC-Lieutenant,ApeCity","Some EXP,  1,500 Silver,",1,sim,0,Game/MsgMonster/MonsterRole.cs
1305,Macaques(3),client Questinfo.ini,high,48,63,"8287,1020,573,622,AC-Lieutenant,ApeCity","8287,1020,573,622,AC-Lieutenant,ApeCity","Some EXP,  1,800 Silver, [item 1088001,0,0,0,0,0,0] [item 160096,0,0,0,3,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1306,Vulture Feather,client Questinfo.ini,high,45,60,"8590,1020,552,594,AC-Castellan,ApeCity","8590,1020,552,594,AC-Castellan,ApeCity","Some EXP,  1,500 Silver,  [item 720172,0,0,0,0,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs; Game/MsgServer/MsgItemUsuagePacket.cs
1307,A Warning,client Questinfo.ini,high,47,62,"8590,1020,552,594,AC-Castellan,ApeCity","8590,1020,552,594,AC-Castellan,ApeCity","Some EXP,  800 Silver,  [item 1060022,0,0,0,0,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1311,Retrieve Jewellery,client Questinfo.ini,high,47,62,"8289,1020,561,640,Lydia,LoveCanyon","8289,1020,561,640,Lydia,LoveCanyon","Some EXP,  1,500 Silver, [item 730001,0,0,0,3,0,0] 5 [item 1000030,0,0,0,0,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1314,The Stone Ape(3),client Questinfo.ini,high,49,64,"8290,1020,560,670,StoneApe,LoveCanyon","8290,1020,560,670,StoneApe,LoveCanyon","Some EXP,  1,500 Silver,  [item 723017,0,0,0,3,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1316,Wood Shortage(2),client Questinfo.ini,high,50,65,"8292,1011,221,395,JackDaniel,MapleForest","8291,1020,838,545,CarpenterJack,LoveCanyon","Some EXP,  1,500 Silver,  [item 1088001,0,0,0,0,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1317,Cliff Flower,client Questinfo.ini,high,52,67,"8291,1020,838,545,CarpenterJack,LoveCanyon","8291,1020,838,545,CarpenterJack,LoveCanyon","Some EXP,  1,000 Silver,  [item 1060022,0,0,0,0,0,0]",2,sim,0,Client/PoolProcesor.cs
1324,Thunder Ape,client Questinfo.ini,high,55,70,"8293,1020,366,304,ArdenteTaoist,LoveCanyon","8293,1020,366,304,ArdenteTaoist,LoveCanyon","Some EXP,  2,000 Silver,  [item 1088001,0,0,0,0,0,0] [item 720173,0,0,0,0,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1325,Thunder Ape L58,client Questinfo.ini,high,58,73,"8293,1020,366,304,ArdenteTaoist,LoveCanyon","8293,1020,366,304,ArdenteTaoist,LoveCanyon","Some EXP,  2,000 Silver,[item 730001,0,0,0,3,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1327,Thunder Stone,client Questinfo.ini,high,55,70,"8294,1020,364,296,TempestTaoist,LoveCanyon","8294,1020,364,296,TempestTaoist,LoveCanyon","Some EXP,  2,000 Silver, [item 720172,0,0,0,0,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1328,Rage Stone,client Questinfo.ini,high,58,73,"8294,1020,364,296,TempestTaoist,LoveCanyon","8294,1020,364,296,TempestTaoist,LoveCanyon","Some EXP,  2,000 Silver,",1,sim,0,Game/MsgMonster/MonsterRole.cs
1329,Blaze Pill,client Questinfo.ini,high,55,70,"8295,1020,356,315,BreezePupil,LoveCanyon","8295,1020,356,315,BreezePupil,LoveCanyon","Some EXP,  2,000 Silver,",1,sim,0,Game/MsgMonster/MonsterRole.cs
1330,Ape Gourd,client Questinfo.ini,high,57,72,"8295,1020,356,315,BreezePupil,LoveCanyon","8295,1020,356,315,BreezePupil,LoveCanyon","Some EXP,  2,000 Silver,[item 1088001,0,0,0,0,0,0] 5 [item 1000030,0,0,0,0,0,0]",2,sim,0,Client/PoolProcesor.cs; Game/MsgServer/MsgDataPacket.cs
1333,Snake Gall,client Questinfo.ini,high,60,75,"8296,1020,272,438,MoonMaiden,LoveCanyon","8296,1020,272,438,MoonMaiden,LoveCanyon","Some EXP,  2,000 Silver,   [item 720172,0,0,0,0,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1334,Snake Fang,client Questinfo.ini,high,63,78,"8296,1020,272,438,MoonMaiden,LoveCanyon","8296,1020,272,438,MoonMaiden,LoveCanyon","Some EXP,  2,000 Silver,   [item 723340,0,0,0,3,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1335,Eradicate Snakeman,client Questinfo.ini,high,60,75,"8297,1020,265,429,HarmonyTaoist,LoveCanyon","8297,1020,265,429,HarmonyTaoist,LoveCanyon","Some EXP,  2,000 Silver,  [item 723340,0,0,0,3,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1337,Back Home(3),client Questinfo.ini,high,61,76,"8297,1020,265,429,HarmonyTaoist,LoveCanyon","8297,1020,265,429,HarmonyTaoist,LoveCanyon","Some EXP,  2,000 Silver,",1,sim,0,Game/MsgMonster/MonsterRole.cs
1338,Back Home(4),client Questinfo.ini,high,61,76,"8297,1020,265,429,HarmonyTaoist,LoveCanyon","8297,1020,265,429,HarmonyTaoist,LoveCanyon","Some EXP,  2,000 Silver,[item 1088001,0,0,0,0,0,0]",1,sim,0,Client/PoolProcesor.cs
1341,Pick a Fight(2),client Questinfo.ini,high,62,77,"8297,1020,265,429,HarmonyTaoist,LoveCanyon","8297,1020,265,429,HarmonyTaoist,LoveCanyon","Some EXP,  2,000 Silver,",2,sim,0,Game/MsgMonster/MonsterRole.cs
1343,Snakeman L63,client Questinfo.ini,high,63,78,"8297,1020,265,429,HarmonyTaoist,LoveCanyon","8297,1020,265,429,HarmonyTaoist,LoveCanyon","Some EXP,  2,000 Silver,",2,sim,0,Game/MsgMonster/MonsterRole.cs
1344,Back Home(1),client Questinfo.ini,high,61,76,"8298,1020,211,445,CaptorCooke,LoveCanyon","8298,1020,211,445,CaptorCooke,LoveCanyon","Some EXP,  1,500 Silver, 5 [item 1000030,0,0,0,0,0,0]",3,sim,0,Client/PoolProcesor.cs
1345,Strife(1),client Questinfo.ini,high,64,79,"8298,1020,211,445,CaptorCooke,LoveCanyon","8298,1020,211,445,CaptorCooke,LoveCanyon","Some EXP,  2,500 Silver,  5  [item 1002000,0,0,0,0,0,0]",4,sim,0,Game/MsgMonster/MonsterRole.cs
1346,Strife(2),client Questinfo.ini,high,64,79,"8298,1020,211,445,CaptorCooke,LoveCanyon","8298,1020,211,445,CaptorCooke,LoveCanyon","Some EXP,  2,800 Silver,  [item 1088001,0,0,0,0,0,0]",4,sim,0,Game/MsgMonster/MonsterRole.cs
1347,Strife(3),client Questinfo.ini,high,64,79,"8298,1020,211,445,CaptorCooke,LoveCanyon","8298,1020,211,445,CaptorCooke,LoveCanyon","Some EXP,  3,000 Silver,  [item 121128,0,0,0,3,0,0] [item 120128,0,0,0,3,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1351,Courage Test(2),client Questinfo.ini,high,57,72,"8299,1020,442,078,PoisonMaster,LoveCanyon","8299,1020,442,078,PoisonMaster,LoveCanyon","Some EXP,  1,000 Silver,",1,sim,0,Game/MsgMonster/MonsterRole.cs
1352,Courage Test(3),client Questinfo.ini,high,57,72,"8299,1020,442,078,PoisonMaster,LoveCanyon","8299,1020,442,078,PoisonMaster,LoveCanyon","Some EXP,  2,000 Silver,  [item 1088001,0,0,0,0,0,0]",2,sim,0,Client/GameClient.cs; Client/PoolProcesor.cs
1355,Enervation Pill(3),client Questinfo.ini,high,59,74,"8299,1020,442,078,PoisonMaster,LoveCanyon","8299,1020,442,078,PoisonMaster,LoveCanyon","Some EXP,  1,500 Silver,",1,sim,0,Game/MsgServer/MsgDataPacket.cs
1356,Enervation Pill(4),client Questinfo.ini,high,59,74,"8299,1020,442,078,PoisonMaster,LoveCanyon","8299,1020,442,078,PoisonMaster,LoveCanyon","Some EXP,  2,000 Silver,",1,sim,0,Game/MsgMonster/MonsterRole.cs
1359,Race Hatred,client Questinfo.ini,high,62,77,"30101,1020,88,387,SnakemanLeader,LoveCanyon","30101,1020,88,387,SnakemanLeader,LoveCanyon","Some EXP,  2,000 Silver,",2,sim,0,Game/MsgMonster/MonsterRole.cs
1360,Race Hatred(2),client Questinfo.ini,high,62,77,"30105,1020,441,451,HeresySnakemanLeader,LoveCanyon","30105,1020,441,451,HeresySnakemanLeader,LoveCanyon","Some EXP,  2,000 Silver, 5 [item 1000030,0,0,0,0,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1363,Collect Medicine,client Questinfo.ini,high,51,66,"8304,1020,848,540,Apothecary,LoveCanyon","8304,1020,848,540,Apothecary,LoveCanyon","Some EXP,  2,000 Silver, [item 1088001,0,0,0,0,0,0]",4,sim,0,Game/MsgMonster/MonsterRole.cs
1451,Kill Sand Monsters,client Questinfo.ini,high,65,75,"8425,1000,500,652,DC-ViceCaptain,Desert","8425,1000,500,652,DC-ViceCaptain,Desert","Some EXP, 3,000 Silver and an Attack Pot (20m) [item 721691,0,0,0,0,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1452,Hidden Danger 1,client Questinfo.ini,high,65,75,"8426,1000,520,641,DC-ViceGeneral,Desert","8426,1000,520,641,DC-ViceGeneral,Desert","Some EXP and 1,500 Silver",4,sim,0,Client/PoolProcesor.cs
1453,Hidden Danger 2,client Questinfo.ini,high,65,75,"8426,1000,520,641,DC-ViceGeneral,Desert","8426,1000,520,641,DC-ViceGeneral,Desert","Some EXP and 3,000 Silver",1,sim,0,Game/MsgMonster/MonsterRole.cs
1458,The Withered Trees 3,client Questinfo.ini,high,67,77,"8427,1000,519,649,TaoistYu,Desert","8427,1000,519,649,TaoistYu,Desert","Some EXP, 3,000 Silver and 5 Panaceas [item 1002000,0,0,0,0,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1460,Kill the L68 Sand Monsters,client Questinfo.ini,high,67,77,"8425,1000,500,652,DC-ViceCaptain,Desert","8425,1000,500,652,DC-ViceCaptain,Desert","Some EXP and 3,000 Silver",2,sim,0,Game/MsgMonster/MonsterRole.cs
1461,Collecting Sand Essence,client Questinfo.ini,high,68,78,"8427,1000,519,649,TaoistYu,Desert","8427,1000,519,649,TaoistYu,Desert","Some EXP, 3,000 Silver and an EXP Ball Scrap [item 720172,0,0,0,0,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1463,Save the Company,client Questinfo.ini,high,68,88,"8434,1000,559,795,KeYulun,Desert","8434,1000,559,795,KeYulun,Desert","Some EXP, 3,000 Silver and a Meteor [item 1088001,0,0,0,0,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1464,Clear the Path,client Questinfo.ini,high,69,79,"8434,1000,559,795,KeYulun,Desert","8434,1000,559,795,KeYulun,Desert","Some EXP, 3,000 Silver and Unique Snakeskin Boots [item 160137,0,0,0,3,0,0]",4,sim,0,Game/MsgMonster/MonsterRole.cs
1465,Save the Village,client Questinfo.ini,high,70,80,"8425,1000,500,652,DC-ViceCaptain,Desert","8437,1000,501,304,GeneralZhuGe,Desert","Some EXP, 2,000 Silver and 5 Panaceas [item 1002000,0,0,0,0,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1466,Hill Monster`s Threat,client Questinfo.ini,high,70,80,"8437,1000,501,304,GeneralZhuGe,Desert","8437,1000,501,304,GeneralZhuGe,Desert","Some EXP, 2,000 Silver and a Diligence Book [item 723340,0,0,0,3,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1467,Ironsmith`s Request,client Questinfo.ini,high,70,80,"8438,1000,491,256,IronsmithLi,Desert","8438,1000,491,256,IronsmithLi,Desert","Some EXP, 3,000 Silver and a Small Joy Stone [item 720173,0,0,0,3,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1468,Go Deep into the Lair,client Questinfo.ini,high,71,81,"8439,1000,493,304,ViceGeneralDong,Desert","8439,1000,493,304,ViceGeneralDong,Desert","Some EXP, 2,000 Silver and an Attack Pot (20m) [item 721691,0,0,0,0,0,0]",3,sim,0,Game/MsgServer/MsgItemUsuagePacket.cs
1469,The Green Seeds 1,client Questinfo.ini,high,71,81,"8440,1000,511,256,WanYing,Desert","8440,1000,511,256,WanYing,Desert","Some EXP and 3,000 Silver",4,sim,0,Client/PoolProcesor.cs
1470,The Green Seeds 2,client Questinfo.ini,high,71,81,"8440,1000,511,256,WanYing,Desert","8440,1000,511,256,WanYing,Desert","Some EXP, 3,000 Silver and an EXP Potion [item 723017,0,0,0,3,0,0]",6,sim,0,Game/MsgServer/MsgItemUsuagePacket.cs
1471,Kill the Hill Monsters (L73),client Questinfo.ini,high,72,82,"8437,1000,501,304,GeneralZhuGe,Desert","8437,1000,501,304,GeneralZhuGe,Desert","Some EXP, 3,000 Silver and an EXP Ball Scrap [item 720172,0,0,0,0,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1472,The New Weapon,client Questinfo.ini,high,72,82,"8438,1000,491,256,IronsmithLi,Desert","8438,1000,491,256,IronsmithLi,Desert","Some EXP, 3,000 Silver   [item 721623,0,0,0,0,0,0]",2,sim,0,Game/MsgMonster/MonsterRole.cs
1473,Hill Monster`s Armor,client Questinfo.ini,high,72,82,"8440,1000,511,256,WanYing,Desert","8440,1000,511,256,WanYing,Desert","Some EXP and 3,000 Silver",1,sim,0,Game/MsgMonster/MonsterRole.cs
1474,The Supply Line,client Questinfo.ini,high,73,83,"8439,1000,493,304,ViceGeneralDong,Desert","8439,1000,493,304,ViceGeneralDong,Desert","Some EXP, 3,000 Silver and 5 Panaceas [item 1002000,0,0,0,0,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1476,Stopping the Monsters,client Questinfo.ini,high,73,83,"8441,1000,585,319,HanCheng,Desert","8441,1000,585,319,HanCheng,Desert","Some EXP and 3,000 Silver",4,sim,0,Game/MsgMonster/MonsterRole.cs
1477,The Secret Letter,client Questinfo.ini,high,74,84,"8437,1000,501,304,GeneralZhuGe,Desert","8437,1000,501,304,GeneralZhuGe,Desert","Some EXP, 3,000 Silver and a Desert City Gate [item 1060021,0,0,0,0,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1478,The Slabstones,client Questinfo.ini,high,75,85,"8439,1000,493,304,ViceGeneralDong,Desert","8439,1000,493,304,ViceGeneralDong,Desert","Some EXP, 3,000 Silver and 5 Panaceas [item 1002000,0,0,0,0,0,0]",5,sim,0,Game/MsgMonster/MonsterRole.cs; Game/MsgServer/MsgItemUsuagePacket.cs
1479,Retrieve the Water Source,client Questinfo.ini,high,75,85,"8437,1000,501,304,GeneralZhuGe,Desert","8437,1000,501,304,GeneralZhuGe,Desert","Some EXP and 3,000 Silver",2,sim,0,Game/MsgMonster/MonsterRole.cs
1480,Rebuild the Village,client Questinfo.ini,high,75,85,"8442,1000,486,261,SoldierMu,Desert","8442,1000,486,261,SoldierMu,Desert","Some EXP, 3,000 Silver  [item 723017,0,0,0,0,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1481,Stolen Grindstone,client Questinfo.ini,high,76,86,"8438,1000,491,256,IronsmithLi,Desert","8438,1000,491,256,IronsmithLi,Desert","Some EXP, 3,000 Silver and an EXP Ball Scrap [item 720172,0,0,0,0,0,0]",1,sim,0,Game/MsgMonster/MonsterRole.cs
1484,Leader`s Trouble,client Questinfo.ini,high,77,87,"8443,1000,359,246,ConvoyLeaderGu,Desert","8443,1000,359,246,ConvoyLeaderGu,Desert","Some EXP and 3,000 Silver",2,sim,0,Game/MsgMonster/MonsterRole.cs
