UID,Nome,Fonte do nome,Confianca,Tipo,Mesh,Mapa ID,Mapa,X,Y,Origem
1156,Lab4,NpcID enum (codigo),medium,Talker,6520,1354,s-task04,7,292,Npcs.txt
50,Lv30 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,118,217,Npcs.txt
51,Lv35 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,118,213,Npcs.txt
52,Lv35 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,118,209,Npcs.txt
53,Lv35 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,118,205,Npcs.txt
54,Lv40 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,118,201,Npcs.txt
55,Lv40 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,118,197,Npcs.txt
56,Lv40 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,118,193,Npcs.txt
57,Lv45 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,118,189,Npcs.txt
58,Lv45 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,118,185,Npcs.txt
59,Lv45 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,118,181,Npcs.txt
60,Lv50 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,118,177,Npcs.txt
61,Lv50 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,118,173,Npcs.txt
62,Lv50 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,125,217,Npcs.txt
63,Lv55 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,125,213,Npcs.txt
64,Lv55 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,125,209,Npcs.txt
65,Lv55 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,125,205,Npcs.txt
66,Lv60 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,125,201,Npcs.txt
67,Lv60 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,125,197,Npcs.txt
68,Lv60 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,125,193,Npcs.txt
69,Lv65 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,125,189,Npcs.txt
70,Lv65 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,125,185,Npcs.txt
71,Lv65 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,125,181,Npcs.txt
72,Lv70 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,125,177,Npcs.txt
73,Lv70 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,125,173,Npcs.txt
4261,Shop 4261 - street,sugerido (tipo+id+mapa),placeholder,Shop,6056,1036,street,205,179,Npcs.txt
74,Lv70 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,150,217,Npcs.txt
75,Lv75 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,150,213,Npcs.txt
76,Lv75 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,150,209,Npcs.txt
77,Lv75 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,150,205,Npcs.txt
78,Lv80 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,150,201,Npcs.txt
79,Lv80 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,150,197,Npcs.txt
80,Lv80 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,150,193,Npcs.txt
81,Lv85 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,150,189,Npcs.txt
82,Lv85 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,150,185,Npcs.txt
83,Lv85 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,150,181,Npcs.txt
84,Lv90 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,150,177,Npcs.txt
85,Lv90 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,150,173,Npcs.txt
86,Lv90 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,157,217,Npcs.txt
87,Lv95 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,157,213,Npcs.txt
88,Lv95 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,157,209,Npcs.txt
89,Lv95 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,157,205,Npcs.txt
90,Lv100 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,157,201,Npcs.txt
91,Lv100 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,157,197,Npcs.txt
92,Lv100 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,157,193,Npcs.txt
93,Lv105 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,157,189,Npcs.txt
94,Lv105 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,157,185,Npcs.txt
95,Lv105 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,157,181,Npcs.txt
96,Lv110 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,157,177,Npcs.txt
97,Lv110 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,157,173,Npcs.txt
98,Lv110 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,178,268,Npcs.txt
99,Lv115 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,178,263,Npcs.txt
100,Lv115 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,178,258,Npcs.txt
101,Lv115 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,178,253,Npcs.txt
102,Lv120 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,178,248,Npcs.txt
103,Lv120 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,178,243,Npcs.txt
104,Lv120 Target,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,185,268,Npcs.txt
105,Boxer,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,185,263,Npcs.txt
106,Prize Officer,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,185,258,Npcs.txt
107,Sunfer,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,185,253,Npcs.txt
108,Shop Flag,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,185,248,Npcs.txt
109,Crystal,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,185,243,Npcs.txt
110,Snowman No.4,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,210,268,Npcs.txt
111,De La Vega,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,210,263,Npcs.txt
112,Princess,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,210,258,Npcs.txt
113,Guild Gate Keeper,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,210,253,Npcs.txt
114,Prince,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,210,248,Npcs.txt
115,Guild Controller,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,210,243,Npcs.txt
116,Warden,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,217,268,Npcs.txt
117,Mine Assistant,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,217,263,Npcs.txt
118,Snowman No.2,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,217,258,Npcs.txt
119,Wu Xing Box,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,217,253,Npcs.txt
120,Shawn,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,217,248,Npcs.txt
121,Smith Zhang,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,217,243,Npcs.txt
122,Matthew,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,269,174,Npcs.txt
150,Lv125 Stake,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,166,152,Npcs.txt
151,Christmas Tree(S),client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,166,147,Npcs.txt
152,Lv125 Scarecrow,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,166,142,Npcs.txt
153,Christmas Tree(M),client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,166,137,Npcs.txt
154,Gender Change,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,166,132,Npcs.txt
155,Christmas Tree(B),client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,166,127,Npcs.txt
156,VIP Event Envoy,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,173,152,Npcs.txt
157,Treater,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,173,147,Npcs.txt
158,Sob(structure) 158 - street,sugerido (tipo+id+mapa),placeholder,Sob(structure),1086,1036,street,173,142,Npcs.txt
159,Sob(structure) 159 - street,sugerido (tipo+id+mapa),placeholder,Sob(structure),1086,1036,street,173,137,Npcs.txt
160,Love Stone,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,173,132,Npcs.txt
161,Warden Li,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,173,127,Npcs.txt
162,Sob(structure) 162 - street,sugerido (tipo+id+mapa),placeholder,Sob(structure),1086,1036,street,198,152,Npcs.txt
163,Sob(structure) 163 - street,sugerido (tipo+id+mapa),placeholder,Sob(structure),1086,1036,street,198,147,Npcs.txt
164,Cloud Saint,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,198,142,Npcs.txt
165,Archer God,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,198,137,Npcs.txt
166,Card Trade NPC,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,198,132,Npcs.txt
167,Mystic Merchant,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,198,127,Npcs.txt
168,Sob(structure) 168 - street,sugerido (tipo+id+mapa),placeholder,Sob(structure),1086,1036,street,205,152,Npcs.txt
169,Dice King,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,205,147,Npcs.txt
170,Iliad Bull,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,205,142,Npcs.txt
171,Invitation Collector,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,205,137,Npcs.txt
172,Card Collector,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,205,132,Npcs.txt
173,Lucky Box,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,205,127,Npcs.txt
174,TC Captain,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,230,217,Npcs.txt
175,PC Captain,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,230,213,Npcs.txt
176,AC Captain,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,230,209,Npcs.txt
177,DC Captain,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,230,205,Npcs.txt
178,BI Captain,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,230,201,Npcs.txt
179,MC Captain,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,230,197,Npcs.txt
180,Boxer Huang,SobNpcs.txt,high,Sob(structure),1086,1036,street,230,193,Npcs.txt
181,Warden Zhang,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,230,189,Npcs.txt
182,Gouda,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,230,185,Npcs.txt
183,(CN) 素云,client npc.ini (tipo = UID; pode diferir do nome real) [nome em chines],low,Sob(structure),1086,1036,street,230,181,Npcs.txt
184,(CN) 曾飞,client npc.ini (tipo = UID; pode diferir do nome real) [nome em chines],low,Sob(structure),1086,1036,street,230,177,Npcs.txt
185,(CN) 怜琴,client npc.ini (tipo = UID; pode diferir do nome real) [nome em chines],low,Sob(structure),1086,1036,street,230,173,Npcs.txt
186,Carpenter Zhong,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,269,218,Npcs.txt
187,Carpenter Li,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,269,214,Npcs.txt
188,Carpenter Zhao,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,269,210,Npcs.txt
189,Carpenter Zhou,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,269,206,Npcs.txt
190,Chopper Zhang Yuan,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,269,202,Npcs.txt
191,Chopper Li Lu,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,269,198,Npcs.txt
192,Chopper Liu Xing,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,269,194,Npcs.txt
193,Chopper Qin Mi,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,269,190,Npcs.txt
194,Twin Guard,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,269,186,Npcs.txt
196,Serenity Taoist,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,269,182,Npcs.txt
197,Thales,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,269,178,Npcs.txt
198,Doctor Mayer,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,237,217,Npcs.txt
199,Donahue,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,237,213,Npcs.txt
200,Dwight,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,237,209,Npcs.txt
201,Snowball Maker,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,237,205,Npcs.txt
202,Demon,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,237,201,Npcs.txt
203,Cake Baker,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,237,197,Npcs.txt
204,Merry Draw Chest,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,237,193,Npcs.txt
205,Wealth Box,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,237,189,Npcs.txt
206,Wealth Box,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,237,185,Npcs.txt
207,Wealth Box,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,237,181,Npcs.txt
208,Wealth Box,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,237,177,Npcs.txt
209,Wealth Box,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,237,173,Npcs.txt
210,Union Messenger,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,262,218,Npcs.txt
211,President Xin,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,262,214,Npcs.txt
212,Ironsmith Zhao,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,262,210,Npcs.txt
213,Tailor Hui,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,262,206,Npcs.txt
214,Chef Zhang,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,262,202,Npcs.txt
215,Stableman Wang,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,262,198,Npcs.txt
216,Alex,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,262,194,Npcs.txt
217,Arthur,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,262,190,Npcs.txt
218,Bryan,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,262,186,Npcs.txt
219,Angela,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,262,182,Npcs.txt
220,Bruce,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,262,178,Npcs.txt
221,Earth Seal,client npc.ini (tipo = UID; pode diferir do nome real),low,Sob(structure),1086,1036,street,262,174,Npcs.txt
7935,Name Register,NpcID enum (codigo),medium,DialogAndGui,9186,1036,street,201,196,Npcs.txt
300000,Shelby,NpcID enum (codigo),medium,DialogAndGui,7624,1036,street,240,249,Npcs.txt
15805,Dr Yin Yang,NpcID enum (codigo),medium,Talker,1544,1036,street,198,191,Npcs.txt
44,WH Market,NpcID enum (codigo),medium,Fixed,87,1036,street,182,180,Npcs.txt
45,Market Conductress,NpcID enum (codigo),medium,Type29,417,1036,street,215,220,Npcs.txt
47,Prize Officer,NpcID enum (codigo),medium,Talker,1067,1036,street,185,170,Npcs.txt
9071,Equipment Blacksmith,Questinfo.ini (NPC citado na quest),high,Type33,9506,1036,street,178,199,Npcs.txt
9072,Rebirth Master,NpcID enum (codigo),medium,Talker,13400,1036,street,210,212,Npcs.txt
141,(CN) 水晶传送石,client npc.ini (tipo = UID; pode diferir do nome real) [nome em chines],low,Shop,32,1036,street,198,181,Npcs.txt
8613,Shop 8613 - mine-one,sugerido (tipo+id+mapa),placeholder,Shop,6270,5000,mine-one,52,50,Npcs.txt
923,Lady Luck,Questinfo.ini (NPC citado na quest),high,Talker,9230,1036,street,212,188,Npcs.txt
390,Love Stone,NpcID enum (codigo),medium,Talker,1600,1036,street,192,193,Npcs.txt
432,Great Merchant,Questinfo.ini (NPC citado na quest),high,DialogAndGui,1390,5000,mine-one,51,50,Npcs.txt
5004,Trojan Star,client NpcX.ini,high,Talker,4296,1036,street,182,183,Npcs.txt
30156,House Admin,NpcID enum (codigo),medium,Talker,8060,1036,street,199,87,Npcs.txt
10065,Godly Artisan,NpcID enum (codigo),medium,Talker,5046,1036,street,178,193,Npcs.txt
3381,Surgeon Miracle,NpcID enum (codigo),medium,Talker,2414,1036,street,252,242,Npcs.txt
35016,Wuxing Oven,NpcID enum (codigo),medium,Warehouse?,6680,1036,street,178,204,Npcs.txt
2070,Collector Zhao,NpcID enum (codigo),medium,Talker,3220,1036,street,212,184,Npcs.txt
2071,Market Cp Admin,NpcID enum (codigo),medium,Talker,3336,1036,street,178,182,Npcs.txt
4450,Confiscator,NpcID enum (codigo),medium,Talker,8730,1036,street,193,212,Npcs.txt
35,Gem Insetter,client npc.ini (tipo = UID; pode diferir do nome real),low,Socketer,350,1036,street,192,205,Npcs.txt
1550,Blacksmith Lee,NpcID enum (codigo),medium,Type37,146,1036,street,192,200,Npcs.txt
7763,Purification Stabilizer,Questinfo.ini (NPC citado na quest),high,Type38,9980,1036,street,182,199,Npcs.txt
35015,Blessed Great Master,Questinfo.ini (NPC citado na quest),high,Type36,6690,1036,street,178,208,Npcs.txt
5680,Breeder,NpcID enum (codigo),medium,Type30,3200,1036,street,189,212,Npcs.txt
10003,Guild Director,Questinfo.ini (NPC citado na quest),high,Talker,150,1002,newplain,399,392,Npcs.txt
101627,Pheonix Boxer,NpcID enum (codigo),medium,Talker,6420,1020,canyon,552,559,Npcs.txt
30101,Snakeman Leader,Questinfo.ini (NPC citado na quest),high,Talker,7290,1020,canyon,88,387,Npcs.txt
30105,Heresy Snakeman Leader,Questinfo.ini (NPC citado na quest),high,Talker,7342,1020,canyon,441,451,Npcs.txt
10028,WH Ape,NpcID enum (codigo),medium,Fixed,80,1020,canyon,576,542,Npcs.txt
10029,Shop 10029 - canyon,sugerido (tipo+id+mapa),placeholder,Shop,50,1020,canyon,560,508,Npcs.txt
10030,Shop 10030 - canyon,sugerido (tipo+id+mapa),placeholder,Shop,30,1020,canyon,550,542,Npcs.txt
10037,Talker 10037 - canyon,sugerido (tipo+id+mapa),placeholder,Talker,270,1020,canyon,824,601,Npcs.txt
10038,Talker 10038 - canyon,sugerido (tipo+id+mapa),placeholder,Talker,270,1020,canyon,491,731,Npcs.txt
10039,Talker 10039 - canyon,sugerido (tipo+id+mapa),placeholder,Talker,270,1020,canyon,106,394,Npcs.txt
10053,Ape City Conductress,NpcID enum (codigo),medium,Type29,286,1020,canyon,566,622,Npcs.txt
8291,Carpenter Jack,Questinfo.ini (NPC citado na quest),high,Talker,10931,1020,canyon,838,545,Npcs.txt
8293,Ardente Taoist,Questinfo.ini (NPC citado na quest),high,Talker,10953,1020,canyon,366,304,Npcs.txt
8294,Tempest Taoist,Questinfo.ini (NPC citado na quest),high,Talker,10963,1020,canyon,364,295,Npcs.txt
8295,Breeze Pupil,Questinfo.ini (NPC citado na quest),high,Talker,10973,1020,canyon,356,315,Npcs.txt
8296,Moon Maiden,Questinfo.ini (NPC citado na quest),high,Talker,10863,1020,canyon,272,438,Npcs.txt
8297,Harmony Taoist,Questinfo.ini (NPC citado na quest),high,Talker,10873,1020,canyon,265,429,Npcs.txt
8299,Poison Master,Questinfo.ini (NPC citado na quest),high,Talker,10893,1020,canyon,442,78,Npcs.txt
8304,Apothecary,Questinfo.ini (NPC citado na quest),high,Talker,10833,1020,canyon,848,540,Npcs.txt
8448,Taoist Spring,Questinfo.ini (NPC citado na quest),high,Talker,10200,1000,desert,299,461,Npcs.txt
2003,AM Captain,NpcID enum (codigo),medium,Talker,1766,5000,mine-one,566,620,Npcs.txt
4352,Holy Phoenix Cup,client npc.ini (tipo = UID; pode diferir do nome real),low,Shop,40,1020,canyon,557,559,Npcs.txt
4357,Shop 4357 - canyon,sugerido (tipo+id+mapa),placeholder,Shop,10,1020,canyon,531,512,Npcs.txt
10002,Barber,Questinfo.ini (NPC citado na quest),high,Talker,26,1002,newplain,412,376,Npcs.txt
