currency,op,file,line,npc,method,case,target,amount,hint
Gold,gain,Client/PoolProcesor.cs,141,,SecondsCallback,SquamaLocationRewardType.Gold,client.Player,sqReward.RewardValue,You get {sqReward.RewardValue} of Gold.
CP,gain,Client/PoolProcesor.cs,147,,SecondsCallback,SquamaLocationRewardType.ConquerPoints,client.Player,sqReward.RewardValue,You get {sqReward.RewardValue} of Gold.
BoundCP,gain,Client/PoolProcesor.cs,153,,SecondsCallback,SquamaLocationRewardType.BoundConquerPoints,client.Player,(int)sqReward.RewardValue,You get {sqReward.RewardValue} of ConquerPoints.
Gold,spend,Client/PoolProcesor.cs,1162,,SecondsCallback,SquamaLocationRewardType.Item,client.Player,99999,
Gold,gain,Client/PoolProcesor.cs,1166,,SecondsCallback,SquamaLocationRewardType.Item,client.Player,100,You received 100 Silver!
Gold,gain,Database/ArenaTable.cs,152,,ResetArena,10,client.Player,CPsForRank(user.Info.TodayRank),You got {CPsForRank(user.Info.TodayRank)} Money for ranking in top10 arena.
CP,set,Database/ServerDatabase.cs,437,,SaveClient,,player,client.Player.ConquerPoints,
BoundCP,set,Database/ServerDatabase.cs,438,,SaveClient,,player,client.Player.BoundConquerPoints,
Gold,set,Database/ServerDatabase.cs,440,,SaveClient,,player,client.Player.Money,
CP,set,Database/ServerDatabase.cs,664,,LoadCharacter,,client.Player,"reader.ReadUInt32(""Character"", ""ConquerPoints"", 0)",Character
BoundCP,set,Database/ServerDatabase.cs,666,,LoadCharacter,,client.Player,"reader.ReadInt32(""Character"", ""BoundConquerPoints"", 0)",Character
Gold,set,Database/ServerDatabase.cs,667,,LoadCharacter,,client.Player,"reader.ReadUInt32(""Character"", ""Money"", 0)",Character
CP,set,Database/ServerDatabase.cs,1043,,LoadCharacter,global,client.Player,player.ConquerPoints,
BoundCP,set,Database/ServerDatabase.cs,1045,,LoadCharacter,global,client.Player,player.BoundConquerPoints,
Gold,set,Database/ServerDatabase.cs,1046,,LoadCharacter,global,client.Player,player.Money,
Gold,gain,Database/TheCrimeTable.cs,30,,AddCrime,,crime,Money,
CP,gain,Game/MsgEvents/DragonWar.cs,145,,CheckUp,,Winner.Player,EventsRewards.DragonWar, + Winner.Player.Name + 
CP,gain,Game/MsgEvents/DragonWar.cs,148,,CheckUp,,Winner.Player,"EventsRewards.EventReward(""DragonWar"").RewardValue", + Winner.Player.Name + 
Gold,gain,Game/MsgEvents/DragonWar.cs,149,,CheckUp,,Winner.Player,5000000, + Winner.Player.Name + 
CP,gain,Game/MsgFloorItem/MsgItem.cs,83,,IsTrap,ItemType.Cps,this,Amount,
Gold,gain,Game/MsgFloorItem/MsgItemPacket.cs,140,,FloorMap,MsgItem.ItemType.Money,client.Player,MapItem.Gold,You have picked up a 
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,182,,FloorMap,MsgItem.ItemType.Cps,client.Player,5,You have picked up a 5 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,187,,FloorMap,MsgItem.ItemType.Cps,client.Player,5,You have picked up a 5 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,192,,FloorMap,MsgItem.ItemType.Cps,client.Player,10,You have picked up a 5 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,197,,FloorMap,MsgItem.ItemType.Cps,client.Player,10,You have picked up a 10 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,202,,FloorMap,MsgItem.ItemType.Cps,client.Player,20,You have picked up a 10 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,207,,FloorMap,MsgItem.ItemType.Cps,client.Player,20,You have picked up a 20 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,212,,FloorMap,MsgItem.ItemType.Cps,client.Player,25,You have picked up a 20 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,217,,FloorMap,MsgItem.ItemType.Cps,client.Player,50,You have picked up a 25 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,222,,FloorMap,MsgItem.ItemType.Cps,client.Player,50,You have picked up a 50 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,227,,FloorMap,MsgItem.ItemType.Cps,client.Player,100,You have picked up a 50 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,232,,FloorMap,MsgItem.ItemType.Cps,client.Player,100,You have picked up a 100 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,237,,FloorMap,MsgItem.ItemType.Cps,client.Player,200,You have picked up a 100 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,242,,FloorMap,MsgItem.ItemType.Cps,client.Player,200,You have picked up a 200 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,247,,FloorMap,MsgItem.ItemType.Cps,client.Player,270,You have picked up a 250 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,252,,FloorMap,MsgItem.ItemType.Cps,client.Player,500,You have picked up a 270 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,257,,FloorMap,MsgItem.ItemType.Cps,client.Player,500,You have picked up a 500 ConquerPoints.
CP,gain,Game/MsgFloorItem/MsgItemPacket.cs,262,,FloorMap,MsgItem.ItemType.Cps,client.Player,500,You have picked up a 500 ConquerPoints.
CP,spend,Game/MsgInterServer/PipeClient.cs,242,,FilterPackets,2,pipe.Owner.Player,1000000,
CP,set,Game/MsgInterServer/PipeClient.cs,401,,FilterPackets,MsgUpdate.DataType.ConquerPoints,pipe.Owner.Player,(uint)Value,
Gold,set,Game/MsgInterServer/PipeClient.cs,402,,FilterPackets,MsgUpdate.DataType.Money,pipe.Owner.Player,(uint)Value,
CP,set,Game/MsgInterServer/PipeServer.cs,230,,Receive,MsgUpdate.DataType.ConquerPoints,user.Owner.Player,(uint)Value,
BoundCP,set,Game/MsgInterServer/PipeServer.cs,231,,Receive,MsgUpdate.DataType.BoundConquerPoints,user.Owner.Player,(int)Value,
Gold,gain,Game/MsgMonster/DropMob.cs,40,,Checkup,ConfigurableDropSystem.DropType.Money,killer.Player,money_value, + killer.Player.VipLevel + $
Gold,gain,Game/MsgMonster/DropMob.cs,53,,Checkup,ConfigurableDropSystem.DropType.Money,killer.Player,money_value, + killer.Player.VipLevel + $
CP,gain,Game/MsgMonster/DropMob.cs,68,,Checkup,ConfigurableDropSystem.DropType.Money,killer.Player,awardCPs,You get {awardCPs} ConquerPoints for killing the monster.
BoundCP,gain,Game/MsgMonster/DropMob.cs,74,,Checkup,ConfigurableDropSystem.DropType.Money,killer.Player,awardCPs,You get {awardCPs} ConquerPoints for killing the monster.
CP,spend,Game/MsgNpc/NpcHandler.cs,140,BlessKey,BlessKey,97,client.Player,100000,Congratulation! You've added 1 blessed attribute to the Gourd.
CP,spend,Game/MsgNpc/NpcHandler.cs,181,BlessKey,BlessKey,75,client.Player,100000,Congratulation! You've added 1 blessed attribute to the Gourd.
CP,spend,Game/MsgNpc/NpcHandler.cs,232,BlessKey,BlessKey,74,client.Player,100000,Congratulation! You've added 1 blessed attribute to the Gourd.
CP,spend,Game/MsgNpc/NpcHandler.cs,281,BlessKey,BlessKey,73,client.Player,100000,Congratulation! You've added 1 blessed attribute to the Gourd.
CP,spend,Game/MsgNpc/NpcHandler.cs,332,BlessKey,BlessKey,13,client.Player,100000,Congratulation! You've added 1 blessed attribute to the Gourd.
CP,spend,Game/MsgNpc/NpcHandler.cs,383,BlessKey,BlessKey,9,client.Player,100000,Congratulation! You've added 1 blessed attribute to the Heaven Fan.
CP,spend,Game/MsgNpc/NpcHandler.cs,434,BlessKey,BlessKey,7,client.Player,100000,Congratulation! You've added 1 blessed attribute to the Star Tower.
CP,spend,Game/MsgNpc/NpcHandler.cs,485,BlessKey,BlessKey,3,client.Player,100000,Congratulation! You've added 1 blessed attribute to the garment.
CP,gain,Game/MsgNpc/NpcHandler.cs,532,PoleDominationAC,PoleDominationAC,1,client.Player,MsgTournaments.MsgSchedules.PoleDomination.Winner.ConquerPointsReward, + client.Player.Name + 
CP,gain,Game/MsgNpc/NpcHandler.cs,582,PoleDominationBI,PoleDominationBI,1,client.Player,MsgSchedules.PoleDominationBI.Winner.ConquerPointsReward, + client.Player.Name + 
CP,gain,Game/MsgNpc/NpcHandler.cs,632,PoleDominationDC,PoleDominationDC,1,client.Player,MsgSchedules.PoleDominationDC.Winner.ConquerPointsReward, + client.Player.Name + 
CP,gain,Game/MsgNpc/NpcHandler.cs,682,PoleDominationPC,PoleDominationPC,1,client.Player,MsgSchedules.PoleDominationPC.Winner.ConquerPointsReward, + client.Player.Name + 
CP,gain,Game/MsgNpc/NpcHandler.cs,789,KnightGameClaim,KnightGameClaim,1,client.Player,CPsReward,KnightGameLv100
CP,gain,Game/MsgNpc/NpcHandler.cs,800,KnightGameClaim,KnightGameClaim,1,client.Player,CPsReward,You received 
CP,gain,Game/MsgNpc/NpcHandler.cs,811,KnightGameClaim,KnightGameClaim,1,client.Player,CPsReward,You received 
CP,gain,Game/MsgNpc/NpcHandler.cs,822,KnightGameClaim,KnightGameClaim,1,client.Player,CPsReward,You received 
CP,gain,Game/MsgNpc/NpcHandler.cs,896,KnightGameClaim2,KnightGameClaim2,1,client.Player,CPsReward,KnightGameLv100
CP,gain,Game/MsgNpc/NpcHandler.cs,907,KnightGameClaim2,KnightGameClaim2,1,client.Player,CPsReward,You received 
CP,gain,Game/MsgNpc/NpcHandler.cs,918,KnightGameClaim2,KnightGameClaim2,1,client.Player,CPsReward,You received 
CP,gain,Game/MsgNpc/NpcHandler.cs,929,KnightGameClaim2,KnightGameClaim2,1,client.Player,CPsReward,You received 
CP,gain,Game/MsgNpc/NpcHandler.cs,1003,KnightGameClaim3,KnightGameClaim3,1,client.Player,CPsReward,KnightGameLv100
CP,gain,Game/MsgNpc/NpcHandler.cs,1014,KnightGameClaim3,KnightGameClaim3,1,client.Player,CPsReward,You received 
CP,gain,Game/MsgNpc/NpcHandler.cs,1025,KnightGameClaim3,KnightGameClaim3,1,client.Player,CPsReward,You received 
CP,gain,Game/MsgNpc/NpcHandler.cs,1036,KnightGameClaim3,KnightGameClaim3,1,client.Player,CPsReward,You received 
CP,gain,Game/MsgNpc/NpcHandler.cs,1110,KnightGameClaim4,KnightGameClaim4,1,client.Player,CPsReward,KnightGameLv100
CP,gain,Game/MsgNpc/NpcHandler.cs,1121,KnightGameClaim4,KnightGameClaim4,1,client.Player,CPsReward,You received 
CP,gain,Game/MsgNpc/NpcHandler.cs,1132,KnightGameClaim4,KnightGameClaim4,1,client.Player,CPsReward,You received 
CP,gain,Game/MsgNpc/NpcHandler.cs,1143,KnightGameClaim4,KnightGameClaim4,1,client.Player,CPsReward,You received 
CP,gain,Game/MsgNpc/NpcHandler.cs,1571,FortesWar,FortesWar,2,client.Player,rewardCPs,FortressWar
CP,gain,Game/MsgNpc/NpcHandler.cs,1592,FortesWar,FortesWar,2,client.Player,60000, + client.Player.Name + 
CP,gain,Game/MsgNpc/NpcHandler.cs,1993,ClassicClanWar,ClassicClanWar,1,client.Player,MsgTournaments.MsgSchedules.ClassicClanWar.Winner.ConquerPointsReward, + client.Player.Name + 
CP,spend,Game/MsgNpc/NpcHandler.cs,3704,RemoveBound,RemoveBound,3,client.Player,50000,
CP,spend,Game/MsgNpc/NpcHandler.cs,3736,RemoveBound,RemoveBound,4,client.Player,50000,
CP,spend,Game/MsgNpc/NpcHandler.cs,3768,RemoveBound,RemoveBound,5,client.Player,50000,
CP,spend,Game/MsgNpc/NpcHandler.cs,3800,RemoveBound,RemoveBound,6,client.Player,50000,
CP,spend,Game/MsgNpc/NpcHandler.cs,3832,RemoveBound,RemoveBound,7,client.Player,50000,
CP,spend,Game/MsgNpc/NpcHandler.cs,3864,RemoveBound,RemoveBound,8,client.Player,50000,
CP,spend,Game/MsgNpc/NpcHandler.cs,3896,RemoveBound,RemoveBound,9,client.Player,50000,
CP,spend,Game/MsgNpc/NpcHandler.cs,3928,RemoveBound,RemoveBound,11,client.Player,50000,
CP,spend,Game/MsgNpc/NpcHandler.cs,3960,RemoveBound,RemoveBound,12,client.Player,50000,
CP,gain,Game/MsgNpc/NpcHandler.cs,5420,ConquerQuest,ConquerQuest,1,client.Player,"EventsRewards.EventReward(""FruitsQuest"").RewardValue",FruitsQuest
CP,gain,Game/MsgNpc/NpcHandler.cs,5615,FruitQuest,FruitQuest,1,client.Player,"EventsRewards.EventReward(""FruitsQuest"").RewardValue",FruitsQuest
CP,gain,Game/MsgNpc/NpcHandler.cs,6721,MonsterGeneral,MonsterGeneral,1,client.Player,"EventsRewards.EventReward(""KillMonstersQuest"").RewardValue",KillMonstersQuest
Gold,gain,Game/MsgNpc/NpcHandler.cs,9350,YangYun2,YangYun2,2,client.Player,100,You received 100 Silver!
Gold,spend,Game/MsgNpc/NpcHandler.cs,9421,NetPeddler,NetPeddler,2,client.Player,10000,"You~bought~a~Fishing~Net~with~5,000~Silver.~Hurry~and~use~it~around~the~water~(303,380)."
Gold,gain,Game/MsgNpc/NpcHandler.cs,9584,Plum,Plum,2,client.Player,100,You received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,9707,RuanBrother,RuanBrother,2,client.Player,100,You received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,10122,YangYun1,YangYun1,21,client.Player,100,You received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,10171,YangYun1,YangYun1,11,client.Player,100,You received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,10337,GhoulKong,GhoulKong,4,client.Player,100,You received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,10561,Cauldron,Cauldron,6,client.Player,100,"Thanks,~bye!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,10741,KunlunWanderer,KunlunWanderer,7,client.Player,100,You received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,10831,KunlunWanderer,KunlunWanderer,2,client.Player,100,You received 100 Silver!
Gold,spend,Game/MsgNpc/NpcHandler.cs,10854,KunlunWanderer,KunlunWanderer,3,client.Player,10000,You arrived at Viper Cave. Now kill the Viper to get the Poison Fang.
Gold,gain,Game/MsgNpc/NpcHandler.cs,11956,Platform,Platform,2,client.Player,100,You received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,12185,VillagerChou,VillagerChou,33,client.Player,100,You received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,12270,VillagerChou,VillagerChou,27,client.Player,100,You received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,12333,VillagerChou,VillagerChou,21,client.Player,100,You received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,12440,VillagerChou,VillagerChou,9,client.Player,100,You received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,12527,VillagerChou,VillagerChou,2,client.Player,100,You received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,12723,SugarTang,SugarTang,41,client.Player,100,You received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,13569,OldBeggar,OldBeggar,18,client.Player,6000,recovery
Gold,gain,Game/MsgNpc/NpcHandler.cs,13690,OldBeggar,OldBeggar,6,client.Player,100,You gave the Old Beggar a Meteor and received the Power Book!
Gold,gain,Game/MsgNpc/NpcHandler.cs,13898,MasterMoMo,MasterMoMo,32,client.Player,6000,"You received 1 hour EXP and 6,000 Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,13945,MasterMoMo,MasterMoMo,24,client.Player,100,You completed the quest and received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,14058,MasterMoMo,MasterMoMo,13,client.Player,100,You completed the quest and received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,14151,MasterMoMo,MasterMoMo,1,client.Player,100,I`m master Mo Mo. I like making inventions.
Gold,gain,Game/MsgNpc/NpcHandler.cs,14436,Shark,Shark,6,client.Player,100,You received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,14733,Louis,Louis,37,client.Player,6000,recovery
Gold,gain,Game/MsgNpc/NpcHandler.cs,14852,Louis,Louis,31,client.Player,100,recovery
Gold,gain,Game/MsgNpc/NpcHandler.cs,14992,Louis,Louis,12,client.Player,100,recovery
Gold,gain,Game/MsgNpc/NpcHandler.cs,15102,Louis,Louis,3,client.Player,100,recovery
Gold,gain,Game/MsgNpc/NpcHandler.cs,21430,CommanderKerry,CommanderKerry,11,client.Player,100,You~received~100~Silver.
Gold,gain,Game/MsgNpc/NpcHandler.cs,21794,Felix,Felix,31,client.Player,6000,"You received 1 hour EXP and 6,000 Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,21939,Felix,Felix,22,client.Player,100,You~received~100~Silver.
Gold,gain,Game/MsgNpc/NpcHandler.cs,21994,Felix,Felix,18,client.Player,100,You~received~100~Silver.
Gold,gain,Game/MsgNpc/NpcHandler.cs,22062,Felix,Felix,14,client.Player,100,You~received~100~Silver.
Gold,gain,Game/MsgNpc/NpcHandler.cs,22120,Felix,Felix,10,client.Player,100,You~received~100~Silver.
Gold,gain,Game/MsgNpc/NpcHandler.cs,22173,Felix,Felix,6,client.Player,100,You~received~100~Silver.
Gold,gain,Game/MsgNpc/NpcHandler.cs,22216,Felix,Felix,2,client.Player,100,You completed the quest and received 100 Silver!
CP,spend,Game/MsgNpc/NpcHandler.cs,22983,PrizeOfficer,PrizeOfficer,11,client.Player,4000000,You received [10]DonationPoints.
CP,spend,Game/MsgNpc/NpcHandler.cs,23013,PrizeOfficer,PrizeOfficer,12,client.Player,12000000,You received [30]DonationPoints.
Gold,gain,Game/MsgNpc/NpcHandler.cs,23382,PakYan,PakYan,6,client.Player,1000,
Gold,gain,Game/MsgNpc/NpcHandler.cs,23427,PakYan,PakYan,2,client.Player,1000,You received 3 Twilight Star Stones!
Gold,gain,Game/MsgNpc/NpcHandler.cs,23623,FlameAltar,FlameAltar,24,client.Player,5000,You received a Radiant Star Stone!
Gold,gain,Game/MsgNpc/NpcHandler.cs,23650,FlameAltar,FlameAltar,21,client.Player,5000,(It requires a large number of Star Ores to extract the Essence of Star.
Gold,gain,Game/MsgNpc/NpcHandler.cs,23716,FlameAltar,FlameAltar,14,client.Player,5000,"(The Metal element has been recovered, and it`s time to explore the Fire Force."
Gold,gain,Game/MsgNpc/NpcHandler.cs,23768,FlameAltar,FlameAltar,11,client.Player,5000,Go~make~the~Metal~Force.
Gold,gain,Game/MsgNpc/NpcHandler.cs,23813,FlameAltar,FlameAltar,5,client.Player,5000,~But where is the Wheel of Nature? It must be stolen by the Clawed Rock Devils nearby.
Gold,gain,Game/MsgNpc/NpcHandler.cs,23850,FlameAltar,FlameAltar,1,client.Player,1000,Go~find~Building~Stones.
Gold,gain,Game/MsgNpc/NpcHandler.cs,24058,ChingYan,ChingYan,10,client.Player,3000,"You`re looking for the Flame Temple? If not I can`t even walk, I`ll go with you."
Gold,gain,Game/MsgNpc/NpcHandler.cs,24108,ChingYan,ChingYan,5,client.Player,5000,Thanks for fulfilling my last wish! Now... Now I can die without anything to regret.
Gold,gain,Game/MsgNpc/NpcHandler.cs,24181,ChingYan,ChingYan,1,client.Player,1000,"~Go, go kill the monsters, and I`ll believe you."
Gold,gain,Game/MsgNpc/NpcHandler.cs,24413,BrokenForgeFurnace,BrokenForgeFurnace,1,client.Player,1000000,"(You tried to read the rune on the furnace, but found too many parts missing.)"
Gold,gain,Game/MsgNpc/NpcHandler.cs,24462,BrokenForgeFurnace,BrokenForgeFurnace,4,client.Player,5000000,"(You read the runes on the Forge Furnace carefully, and understood the most words.)"
Gold,gain,Game/MsgNpc/NpcHandler.cs,24514,BrokenForgeFurnace,BrokenForgeFurnace,8,client.Player,1000000,"(Since the Rune Fragments were collected from the alien monsters,"
Gold,gain,Game/MsgNpc/NpcHandler.cs,24566,BrokenForgeFurnace,BrokenForgeFurnace,12,client.Player,5000,You received 2 Bright Star Stones!
Gold,gain,Game/MsgNpc/NpcHandler.cs,24750,ChongYan,ChongYan,11,client.Player,500000,"Now the monsters have been swept off, we`ll continue to find the Flame Temple."
Gold,gain,Game/MsgNpc/NpcHandler.cs,24789,ChongYan,ChongYan,5,client.Player,5000,
Gold,gain,Game/MsgNpc/NpcHandler.cs,24847,ChongYan,ChongYan,1,client.Player,1000,"Hero, you saved my life, and I am eternally grateful! We got attacked by a horde of"
Gold,gain,Game/MsgNpc/NpcHandler.cs,24905,RemainofBrightTribesman,RemainofBrightTribesman,1,client.Player,1000,~You found many bloodstains and footsteps along the road. The Bright tribesmen must have a
CP,spend,Game/MsgNpc/NpcHandler.cs,25426,IdealDesgner,IdealDesgner,3,client.Player,15000,Please make 1 more space in your inventory.
Gold,spend,Game/MsgNpc/NpcHandler.cs,27129,PokerMillionaireLee,PokerMillionaireLee,2,client.Player,100100000,Let me check.
Gold,spend,Game/MsgNpc/NpcHandler.cs,27161,PokerMillionaireLee,PokerMillionaireLee,4,client.Player,50100000,Let me check.
Gold,gain,Game/MsgNpc/NpcHandler.cs,27223,AuntPeach,AuntPeach,3,client.Player,6000,Aunt~Peach~found~a~Note~in~the~Peach~Bag~and~gave~it~to~you.
Gold,gain,Game/MsgNpc/NpcHandler.cs,27312,ObscureWarrior,ObscureWarrior,10,client.Player,100,You've completed the quest and received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,27352,ObscureWarrior,ObscureWarrior,1,client.Player,100,You've completed the quest and received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,27379,ObscureWarrior,ObscureWarrior,3,client.Player,100,You've completed the quest and received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,27458,ObscureWarrior,ObscureWarrior,7,client.Player,100,You've completed the quest and received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,27688,Harvey,Harvey,6,client.Player,100,You've completed the quest and received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,27744,Harvey,Harvey,2,client.Player,100,You've completed the quest and received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,27851,Carolyn,Carolyn,4,client.Player,3000,"You~managed~to~persuade~Carolyn!~You`ve~received~3,000~Silver~and~EXP~worth~1/2~EXP~Ball!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,27909,FarmerLynn,FarmerLynn,1,client.Player,100,You've completed the quest and received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,27965,FarmerLynn,FarmerLynn,5,client.Player,100,You`ve~received~100~Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,28014,FarmerLynn,FarmerLynn,7,client.Player,100,You`ve~received~100~Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,28065,TaoistShine,TaoistShine,1,client.Player,100,You've completed the quest and received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,28083,TaoistShine,TaoistShine,2,client.Player,100,You've completed the quest and received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,28486,Dark_MoMo,Dark_MoMo,2,client.Player,100,You've completed the quest and received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,28555,JerkWang,JerkWang,2,client.Player,100,You've completed the quest and received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,28572,JerkWang,JerkWang,3,client.Player,100,You've completed the quest and received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,28655,AuntZhang,AuntZhang,10,client.Player,6000,"If you forgot some skills or you qualifed for rebirth, you can learn skills in Job Center."
Gold,gain,Game/MsgNpc/NpcHandler.cs,28682,AuntZhang,AuntZhang,1,client.Player,100,You've completed the quest and received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,29164,DoctorKnowitAll,DoctorKnowitAll,41,client.Player,100,You`ve received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,29260,DoctorKnowitAll,DoctorKnowitAll,28,client.Player,100,You`ve received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,29319,DoctorKnowitAll,DoctorKnowitAll,22,client.Player,100,You`ve received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,29411,DoctorKnowitAll,DoctorKnowitAll,16,client.Player,100,recovery
Gold,gain,Game/MsgNpc/NpcHandler.cs,29468,DoctorKnowitAll,DoctorKnowitAll,11,client.Player,100,recovery
Gold,gain,Game/MsgNpc/NpcHandler.cs,29514,DoctorKnowitAll,DoctorKnowitAll,2,client.Player,100,recovery
Gold,gain,Game/MsgNpc/NpcHandler.cs,29694,PoorXiao,PoorXiao,32,client.Player,6000,recovery
