id;name;type;lookface;life;mana;attack_max;attack_min;defence;dexterity;dodge;helmet_type;armor_type;weaponr_type;weaponl_type;attack_range;view_range;escape_life;attack_speed;move_speed;level;attack_user;drop_money;drop_itemtype;size_add;action;run_speed;drop_armet;drop_necklace;drop_armor;drop_ring;drop_weapon;drop_shield;drop_shoes;drop_hp;drop_mp;magic_type;magic_def;magic_hitrate;ai_type;defence2;stc_type;anti_monster;extra_battlelev;extra_exp;extra_damage;species_type;attr_metal;attr_wood;attr_water;attr_fire;attr_earth;vs_callpet;transform_flag;transform_condition;transform_monster;attack_new;defence_new;stable_defence;critical_rate;magic_critical_rate;anti_critical_rate;final_dmg_add;final_dmg_add_mgc;final_dmg_reduce;final_dmg_reduce_mgc;item_drop_rule1;item_drop_rule2;item_drop_rule3;item_drop_rule4;extra_magic_injury;attribute
0037;BladeMonster;0001;0400;1167300;00;1296;0780;0550;0007;0087;0000;0000;0000;0000;0020;0020;0000;1000;0500;0085;819203;0015;0000;0001;98054120;0400;007;016;007;016;016;006;007;1002020;1001020;0000;0060;0000;0000;10000;00;0;0;100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0038;BirdKing;0001;0250;1342200;00;1520;0914;0600;0011;0091;0000;0000;0000;0000;0020;0020;0000;1000;0500;0090;819203;0009;0000;0001;98054139;0400;099;099;099;017;099;099;099;1002020;1001020;1002;0060;0030;0000;10000;00;0;0;100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0039;SilverHawk;0001;0250;1543200;00;1775;1069;0700;0011;0092;0000;0000;0000;0000;0020;0020;0000;1000;1000;0095;819203;0010;0000;0001;98054152;0400;008;099;099;099;099;099;099;1002020;1001020;0000;0060;0000;0000;10000;19;0;0;100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0040;Robber;0001;0201;2069700;00;2256;1125;0800;0013;0086;0000;0000;0000;0000;0020;0020;0000;1000;1000;0100;819203;0011;0000;0001;98054182;0400;099;099;008;099;099;099;099;1002020;1001020;0000;0060;0000;0000;10000;00;0;0;100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0051;MonolithMonster;0001;0136;7358;00;0140;0120;0000;0003;0083;0000;0000;0000;0000;0001;0015;0000;1000;0500;0042;32771;0048;0000;0001;98053983;1000;000;000;000;000;000;000;009;0000;0000;0000;0000;0000;0000;10000;00;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0055;BanditL97;0001;0201;13805;00;0802;0600;0000;0030;0086;0000;0000;0000;0000;0001;0010;0000;1000;1000;0097;32771;0011;0000;0001;9593420;0500;099;019;099;099;099;099;099;1002010;1002030;0000;0000;0000;0000;10000;55;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0056;BloodyBat;0001;0148;28140;00;1602;1200;0000;0030;0085;0000;0000;0000;0000;0001;0010;0000;1000;1000;0107;32771;0211;0000;0001;9593470;0500;099;021;099;099;099;099;099;1002010;1002030;0000;0000;0000;0000;10000;56;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0057;BullMonster;0001;0317;35050;00;1880;1300;0000;0033;0086;0000;0000;0000;0000;0001;0010;0000;1000;1000;0112;32771;0235;0000;0001;9593480;0500;009;099;009;015;016;008;009;1002020;1002040;0000;0000;0000;0000;10000;57;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0058;RedDevilL117;0001;0197;60460;00;2228;1500;0000;0033;0086;0000;0000;0000;0000;0001;0010;0000;1000;1000;0117;32771;0250;0000;0001;9593490;0500;009;021;009;015;016;009;009;1002020;1002040;0000;0000;0000;0000;10000;58;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0059;RockMonsterL15;0001;0136;1000;00;0046;0040;0000;0003;0083;0000;0000;0000;0000;0001;0015;0000;1000;0500;0015;32771;0018;0000;0001;98053947;1000;000;000;000;000;000;000;000;0000;0000;0000;0000;0000;0000;10000;00;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0064;HeavyGhostL23;0001;0508;0731;00;0010;0009;0000;0000;0071;0000;0000;0000;0000;0002;0015;0000;1000;0500;0023;32771;0016;0000;0001;98053954;0200;001;003;001;003;003;099;001;1000030;1001010;0000;0000;0000;0000;10000;05;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0065;WingedSnakeL28;0001;0603;0890;00;0013;0011;0000;0000;0073;0000;0000;0000;0000;0002;0015;0000;1000;0250;0028;32771;0020;0000;0001;98053960;0100;002;004;002;004;004;099;002;1000030;1001020;0000;0000;0000;0000;10000;06;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0066;BanditL33;0001;0601;1635;00;0015;0014;0000;0000;0075;0000;0000;0000;0000;0002;0015;0000;1000;0250;0033;32771;0023;0000;0001;9593290;0100;003;005;002;005;005;099;002;1000030;1001020;0000;0000;0000;0000;10000;07;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0067;FireRatL38;0001;0219;1999;00;0020;0018;0000;0000;0078;0000;0000;0000;0000;0002;0015;0000;1000;0250;0038;32771;0027;0000;0001;9593300;0100;003;006;003;006;006;099;003;1002000;1001020;0000;0000;0000;0000;10000;08;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0068;FireSpiritL43;0001;0219;3658;00;0023;0021;0000;0000;0075;0000;0000;0000;0000;0002;0015;0000;1000;0250;0043;32771;0039;0000;0001;98053992;0100;004;007;003;007;007;000;003;1002000;1001020;0000;0000;0000;0000;10000;09;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0069;MacaqueL48;0001;0556;4400;00;0040;0036;0000;0000;0078;0000;0000;0000;0000;0002;0015;0000;1000;0250;0048;32771;0008;0000;0001;98054004;0100;004;008;004;008;008;001;004;1002000;1001020;0000;0000;0000;0000;10000;10;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0070;GiantApeL53;0001;0556;5289;00;0052;0047;0000;0000;0079;0000;0000;0000;0000;0002;0015;0000;1000;0250;0053;32771;0009;0000;0002;98054013;0100;005;009;005;009;009;002;004;1002010;1001020;0000;0000;0000;0000;10000;11;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0071;ThunderApeL58;0001;0503;6371;00;0065;0059;0000;0000;0082;0000;0000;0000;0000;0002;0015;0000;1000;0250;0058;32771;0010;0000;0001;98054025;0100;005;011;005;011;011;003;005;1002010;1001020;0000;0000;0000;0000;10000;12;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0072;SnakemanL63;0001;0604;9547;00;0081;0073;0000;0000;0083;0000;0000;0000;0000;0002;0015;0000;1000;0250;0063;32771;0012;0000;0001;98054040;0100;006;012;006;012;012;003;005;1002010;1001020;0000;0000;0000;0000;10000;13;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0073;SandMonsterL68;0001;0531;11526;00;0307;0278;0000;0004;0087;0000;0000;0000;0000;0002;0015;0000;1000;0250;0068;32771;0010;0000;0003;9593390;0100;006;013;006;013;013;004;006;1002010;1001020;0000;0000;0000;0000;10000;14;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0074;HillMonsterL73;0001;0505;14723;00;0348;0314;0000;0003;0083;0000;0000;0000;0000;0002;0015;0000;1000;0250;0073;32771;0011;0000;0001;98054067;0100;006;014;006;014;014;004;006;1002010;1001020;0000;0000;0000;0000;10000;15;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0075;RockMonsterL78;0001;0505;11284;00;0413;0373;0000;0008;0086;0000;0000;0000;0000;0002;0015;0000;1000;0250;0078;32771;0012;0000;0001;98054092;0100;007;015;006;015;015;005;007;1002010;1001020;0000;0000;0000;0000;10000;16;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0076;BladeGhostL83;0001;0200;15572;00;0484;0438;0000;0007;0087;0000;0000;0000;0000;0002;0015;0000;1000;0250;0083;32771;0015;0000;0001;98054117;0100;007;016;007;016;016;006;007;1002020;1001020;0000;0000;0100;0000;10000;17;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0077;BirdmanL88;0001;0605;17905;00;0568;0512;0000;0011;0091;0000;0000;0000;0000;0002;0015;0000;1000;0250;0088;32771;0009;0000;0001;98054129;0100;099;099;099;099;099;099;008;1002020;1001020;0000;0000;0000;0000;10000;18;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0078;HawkL93;0001;0605;20586;00;0663;0599;0000;0011;0092;0000;0000;0000;0000;0002;0018;0000;1000;0250;0093;32771;0010;0000;0001;9593430;0100;099;099;008;099;099;099;099;1002020;1001020;0000;0000;0000;0000;10000;19;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0079;BanditL98;0001;0601;27610;00;0842;0630;0000;0013;0086;0000;0000;0000;0000;0001;0018;0000;1000;0500;0098;32771;0011;0000;0001;9593440;0100;099;099;099;019;099;099;099;1002020;1001020;0000;0000;0000;0000;10000;55;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0080;TombBatL103;0001;0606;48944;00;1316;1191;0000;0013;0086;0000;0000;0000;0000;0002;0018;0000;1000;0500;0103;32771;0011;0000;0003;98054199;0100;008;099;099;099;020;099;099;1002020;1001020;0000;0000;0000;0000;10000;20;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0081;BloodyBatL108;0001;0248;56280;00;1682;1260;0000;0013;0089;0000;0000;0000;0000;0001;0018;0000;1000;0500;0108;32771;0012;0000;0001;98054212;0100;099;021;099;099;099;099;009;1002020;1001020;0000;0000;0000;0000;10000;56;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0082;BullMonsterL113;0001;0284;65535;00;1974;1365;0000;0019;0086;0000;0000;0000;0000;0001;0018;0000;1000;0500;0113;32771;0013;0000;0001;98054237;0100;099;099;009;099;099;099;099;1002020;1001020;0000;0000;0000;0000;10000;57;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0083;RedDevilL118;0001;0210;65535;00;2339;1575;0000;0019;0086;0000;0000;0000;0000;0001;0018;0000;1000;0500;0118;32771;0015;0000;0001;98054253;0100;009;099;099;099;021;099;009;1002020;1001020;0000;0000;0000;0000;10000;58;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0084;Banditti;0001;0201;26680;00;0884;0662;0000;0013;0086;0000;0000;0000;0000;0001;0010;1000;1000;0500;0098;32771;0011;0000;0001;9593450;0300;099;099;099;099;019;099;008;1002020;1001020;0000;0060;0000;0000;10000;00;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0085;SeniorBandit;0001;0201;45000;00;1389;1039;1000;0013;0086;0000;0000;0000;0000;0001;0020;4000;1000;0500;0103;32771;0011;0000;0001;98054198;0100;099;099;008;099;099;099;099;1002020;1001020;0000;0070;0000;0000;10000;00;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0086;VampireBat;0001;0148;50000;00;1766;1323;0900;0013;0089;0000;0000;0000;0000;0001;0010;1500;1000;0500;0108;32771;0012;0000;0001;98054211;0300;099;099;099;099;099;009;099;1002020;1001020;0000;0060;0000;0000;10000;56;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0087;VampireKing;0001;0148;55000;00;1850;1386;1000;0013;0089;0000;0000;0000;0000;0001;0020;50000;1000;0500;0113;32771;0012;0000;0001;98054236;0100;099;099;099;021;099;099;099;1002020;1001020;0000;0070;0000;0000;10000;00;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0088;BloodyDevil;0001;0197;60000;00;2455;1653;0900;0019;0086;0000;0000;0000;0000;0001;0010;2000;1000;0500;0118;32771;0015;0000;0001;98054252;0300;099;099;099;099;099;099;009;1002020;1001020;0000;0060;0000;0000;10000;58;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0089;DevilKing;0001;0197;65000;00;2572;1732;1000;0019;0086;0000;0000;0000;0000;0001;0020;120000;1000;0500;0120;32771;0015;0000;0001;98054261;0100;099;099;099;021;099;099;099;1002020;1001020;0000;0070;0000;0000;10000;00;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0090;FlyingBat;0001;0406;2447200;00;2351;1418;0900;0013;0086;0000;0000;0000;0000;0020;0020;0000;1000;1000;0105;819203;0011;0000;0003;98054203;0400;099;099;009;099;099;099;009;1002020;1001020;0000;0060;0000;0000;10000;00;0;0;100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0091;BloodyKing;0001;0348;2814000;00;3005;1500;1000;0013;0089;0000;0000;0000;0000;0020;0020;0000;1000;1000;0110;819203;0012;0000;0001;98054221;0400;009;099;099;021;099;099;099;1002020;1001020;0000;0060;0000;0000;10000;00;0;0;100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0092;BullDevil;0001;0317;3505000;00;3525;1625;1200;0019;0086;0000;0000;0000;0000;0020;0020;0000;1000;1000;0115;819203;0013;0000;0001;98054241;0400;099;099;099;099;022;099;099;1002020;1001020;0000;0060;0000;0000;10000;00;0;0;100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0093;GreenDevil;0001;0397;6046000;00;4178;1875;1200;0019;0086;0000;0000;0000;0000;0020;0020;0000;1000;1000;0120;819203;0015;0000;0001;98054264;0400;099;099;009;099;021;099;099;1002020;1001020;0000;0060;0000;0000;10000;00;0;0;100;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0100;Skeleton;0001;0211;30000;00;2500;2500;0030;0020;0050;0000;0000;0000;0000;0011;0012;2000;2000;1000;0070;32771;0120;0000;0001;98054047;0500;007;015;006;015;015;005;007;1002010;1001020;0000;0050;0000;0000;10000;00;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
0101;GhostWarrior;0001;0211;20000;00;2500;2500;0500;0015;0050;0000;0000;0000;0000;0004;0015;0500;1000;5000;0080;32771;0180;0000;0001;98054102;0100;007;015;006;015;015;005;007;1002010;1001020;0000;0030;0000;0000;10000;00;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000000000
